Tienda,Periodo,Área,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,CAPO,CAPE,ProdUnid
SO04 Jaen - PVO,202509,INVENTARIOS,5645698,6730070,1.1913611111111113,3300589.705653467,6170767,2.0390509000474344,2.0,2.0,515068.0127771689
P147 Juliaca - PVH,202511,INVENTARIOS,5644002,10927327,1.6325555555555555,4401749.912798875,6930859,2.4824962063898366,2.0,2.0,516769.94214932283
P465 Sucre - PVH,202505,RECEPCIÓN,5626967,9138898,1.6186559139784948,4899768.632460417,9344925,1.8651693570704189,2.5,2.0,601983.7085727571
P112 Ceres - PVH,202512,INVENTARIOS,5606236,4974291,0.8872782258064512,5736162.6272388045,5129164,0.8671810046631221,2.0,2.0,733585.0030675547
P465 Sucre - PVH,202512,RECEPCIÓN,5577409,10790384,1.9311626344086021,4354354.248398602,12764237,2.4780675444512514,2.0,2.0,578448.6040152146
P134 Centro Civico - PVH,202512,RECEPCIÓN,5567560,7239626,1.2987634408602107,3473084.029728425,7429222,2.0844949094324376,2.0,2.0,627644.6921389266
V090 Pezet - VIV,202512,INVENTARIOS,5558235,2465981,0.4436626344086017,5875982.307116452,2596874,0.41967133342342244,1.0,1.0,649301.9192026303
1593 Aventura SJL - PVH,202505,RECEPCIÓN,5548427,6023437,1.0856115591397852,3164176.1602647807,5068743,1.9036350679969583,2.0,1.0,596048.0749787975
P201 Huaral - PVH,202512,INVENTARIOS,5497924,4790509,0.8713306451612899,6351633.182191305,4839351,0.7542169380044835,2.0,2.0,674223.9622379567
P133 Guardia Civil - PVH,202512,INVENTARIOS,5493981,7364773,1.3299059139784937,5631256.198515937,8180680,1.307838361525962,3.0,3.0,556113.0244074995
P068 Primavera - PVH,202512,INVENTARIOS,5480070,5757736,0.8858198924731183,4360898.933035713,5340614,1.3203094404189548,3.0,2.0,562403.2653061224
P465 Sucre - PVH,202503,RECEPCIÓN,5469597,10566933,1.9248118279569895,5826985.230668189,10494519,1.81344779018571,2.5,2.0,592784.7571526332
P134 Centro Civico - PVH,202507,RECEPCIÓN,5463353,5814139,1.0642069892473118,3053039.3096984397,6432024,1.904377310678743,2.0,1.0,570585.1268929108
1199 San Miguel - PVH,202508,RECEPCIÓN,5459391,5588701,1.022856182795699,11264202.594,6047621,0.4961470218031131,1.0,1.0,646458.212915815
P125 SJ Lurigancho - PVH,202512,INVENTARIOS,5431253,7254390,1.3333870967741928,8736538.497229038,8224655,0.8303505527161437,3.0,3.0,464223.03132938215
P126 Santa Clara - PVH,202507,INVENTARIOS,5427456,9609880,1.7706048387096776,3698836.3710628157,10235669,2.5980818116695215,3.0,2.0,527412.4974607729
1199 San Miguel - PVH,202502,RECEPCIÓN,5423674,5440144,1,0,5350985,Infinity,1.0,1.0,648506.0599999999
SO04 Jaen - PVO,202511,INVENTARIOS,5423565,7459208,1.3527013888888888,3856470.9621021603,6359500,1.9342056671247405,2.0,2.0,502802.241194318
P135 Colonial - PVH,202512,INVENTARIOS,5411809,4076885,0.7529704301075268,5704821.590416664,4866431,0.714638465968615,3.0,2.0,570835.1653844095
P089 Risso - PVH,202509,RECEPCIÓN,5407651,4038238,0.7467638888888889,2483501.6464299746,4838014,1.6260259604840426,1.0,1.0,747774.7763498055
P066 Ate - PVH,202512,INVENTARIOS,5393840,6698002,1.2416061827956981,4957364.553135725,6796104,1.3511214957478273,3.0,3.0,480638.71481074556
P147 Juliaca - PVH,202505,INVENTARIOS,5390627,7914269,1.3110887096774193,4095809.159661807,6372993,1.9322846674461471,2.0,2.0,578852.5172997079
1199 San Miguel - PVH,202507,RECEPCIÓN,5384134,5552466,1.0300537634408602,6211952.1712609995,6386710,0.8938359708704702,1.0,1.0,618093.3584216296
P126 Santa Clara - PVH,202503,INVENTARIOS,5359172,10172199,1.8980913978494625,4265625.755834294,11266579,2.3846908595033245,3.0,2.0,497642.000311575
P126 Santa Clara - PVH,202501,INVENTARIOS,5338208,8676382,1.6253360215053765,3157277.6442565704,8952899,2.748058044810622,3.0,2.0,541956.8559024188
P061 Cortijo - PVH,202510,RECEPCIÓN,5337581,7561235,1.413454301075269,3031113.5936820623,8515354,2.49454024941868,3.0,1.5,626267.0390734208
P229 Salaverry - PVH,202508,RECEPCIÓN,5322996,8808163,1.6547379032258065,7219102.204993217,9124119,1.2201189552223932,4.0,2.0,731272.9028815108
P104 Arequipa - PVH,202512,INVENTARIOS,5309233,6752815,1.2656451612903217,5907204.319008522,7063060,1.1431489982952558,2.5,2.5,408436.75289919745
P225 Cajamarca - PVH,202503,RECEPCIÓN,5288656,8800854,1.4411626344086022,2681356.4405926988,7169293,3.282239416873133,3.5,2.5,601501.1202089114
P259 Moquegua - PVH,202512,INVENTARIOS,5279135,7232397,1.3331048387096767,5185624.267608268,6795807,1.3947014046460702,3.0,3.0,605566.7765645325
P123 El Chacarero - PVH,202512,INVENTARIOS,5275017,11750597,2.180678763440858,6967383.052602679,8835093,1.686515080523747,3.0,3.0,523680.5343112938
P134 Centro Civico - PVH,202504,RECEPCIÓN,5271041,5275543,1.0008541666666666,4502673.793055314,5521501,1.1716467042619698,2.0,1.0,577331.8803521991
